"Start date","Google End date","Campaign name UAC-Univest-Pro-Activated-PRO-010823","Sum of spends","Sum of signups","Sum of p0","Sum of p1","Sum of d0_trial","Sum of d0","Sum of d0_d6","Sum of new_user_count_by_trial","Sum of d0_revenue","Sum of d6_revenue","Sum of overall_revenue","Sum of d6_mandate_amount","Sum of total_trial","SU Cost","P0+P1","P0+P1%","Prio Cost","C/D0 Trial","Trial %","d0 CAC","d0%","D0 ROAS","d6 CAC","d6%","D6 CAC","D6 ROAS","D6 mandate ROAS","D6 non mandate roas","Real%","overall roas","D6 Mandate Revenue/ D0 Trial","Revenue/Trial","","Google camapign list","Meta campaign list","Meta adset list","Google Adgroups list","","Spends","Signups","P0P1","D0","D6","D0 Trials","D6 Rev","Overall Rev"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Black-Friday-Test_V1_Pro-Sub_201125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Election-Day-Test_Pro-Sub_211125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Baby-AI-Test_V0_Pro-Sub_211125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_5000-dede_H3_Pro-Sub_151125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_AS-Anchor-Test_V0_Pro-Sub_161125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Black-Friday-AI-Test_V1_Pro-Sub_201125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Trader-Video-Test_Pro-Sub_131125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Video-Multibagger-Test_V0_Pro-Sub_051225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_FInfluencer-Test_Pro-Sub_051225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_All-Plan_D0_6-Event_151025","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_New-Statics-Test_Pro-Sub_131125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Milk-Expires-Video-Test_Pro-Sub_131125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Why-do-Stock-Guru-Video-Test_Pro-Sub_131125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Multibagger-Test_Pro-Sub_131125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Yashpal-Sir-Test_V2_Pro-Sub_131125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Stop-Chasing-Test_Pro-Sub_141125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Skoda-Gedi-Test_V0_Pro-Sub_141125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Chashmish-Buddhu-Test_Pro-Sub_141125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Overacting-Test_Pro-Sub_141125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Performance-10th-Oct_Pro-Sub_151125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Confusion-se-clarity-tak_Pro-Sub_151125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Even-Milk-Expires_Pro-Sub_151125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Standup_V3_Pro-Sub_161125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Standup_V4_Pro-Sub_161125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_AS-Tension-Test_V0_Pro-Sub_161125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_AS-Explains-Test_V0_Pro-Sub_161125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_AS-Selfie-Test_V0_Pro-Sub_161125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Google-Maps-Test_V0_Pro-Sub_191125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Black-Friday-Test_V2_Pro-Sub_201125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Black-Friday-AI-Test_V2_Pro-Sub_201125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Black-Friday-AI-Test_V3_Pro-Sub_201125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Hand-Test_V0_Pro-Sub_211125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Phone-Sliding-BlackF-Test_V0_Pro-Sub_211125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_News-Anchor-Test_Pro-Sub_131125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_TROAS-N0-Target_Pro-Sub_030925","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_WhatsApp_CTWA_Convo_250825","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_WhatsApp_CTWA_W/0-SU-Exclusion_Convo_240925","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_WhatsApp_CTWA_Convo_041025","","","","","","","","","",""
