"Start date","Google End date","Campaign name UAC-Univest-Pro-Activated-PRO-010823","Sum of spends","Sum of signups","Sum of p0","Sum of p1","Sum of d0_trial","Sum of d0","Sum of d0_d6","Sum of new_user_count_by_trial","Sum of d0_revenue","Sum of d6_revenue","Sum of overall_revenue","Sum of d6_mandate_amount","Sum of total_trial","SU Cost","P0+P1","P0+P1%","Prio Cost","C/D0 Trial","Trial %","d0 CAC","d0%","D0 ROAS","d6 CAC","d6%","D6 CAC","D6 ROAS","D6 mandate ROAS","D6 non mandate roas","Real%","overall roas","D6 Mandate Revenue/ D0 Trial","Revenue/Trial","","Google camapign list","Meta campaign list","Meta adset list","Google Adgroups list","","Spends","Signups","P0P1","D0","D6","D0 Trials","D6 Rev","Overall Rev"
"18/03/2026","24/03/2026","Week 2","?108,804","122","27","37","17","1","13","13","1999","?28,787","34385","24789","30","?892","64","52%","1,700","?6,400","13.93%","?108,804","0.8%","1.8%","8,370","10.7%","8,370","26.5%","22.8%","3.7%","43.3%","31.6%","1,693","1,146","","","FB_BOF_Manual-App_Android-Retargeting_Pro-Sub_Pan-India_190825","FB_MOF_Detail-Target_Android_Prishita-Inf-Test-2_V0_Pro-Sub_230326","","","","","","","","","",""
"25/03/2026","31/03/2026","Week 1","?105,980","43","10","14","3","1","2","1","1899","?6,898","6898","0","5","?2,465","24","56%","4,416","?35,327","6.98%","?105,980","2.3%","1.8%","52,990","4.7%","52,990","6.5%","0.0%","6.5%","20.0%","6.5%","2,299","1,380","","","FB_MOF_Manual-App-TROAS_Android_Pro-Sub_Pan-India_060126_Age-Test","FB_MOF_Detail-Target_Android_Prishita-Inf-Test-3_V0_Pro-Sub_230326","","","","","","","","","",""
"","01/04/2026","Today","?136","1","0","0","0","0","0","0","0","?0","0","0","0","?136","0","0%","","","","","0.0%","0.0%","","0.0%","","0.0%","0.0%","0.0%","","0.0%","","","","","FB_MOF_Manual-App_Android_Pro-Sub_Pan-India_020126_A/B-region-wise","FB_MOF_Detail-Target_Android_Black-War-Inf-Test-1_V0_Pro-Sub_230326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Sales_Web-to-App_Start-Trial_Pan-India_191225","FB_MOF_Detail-Target_Android_Black-War-Inf-Test-2_V0_Pro-Sub_230326","","","","","","","","","",""
"","","Adset level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Manual-App_Android_Pro-Sub_Pan-India_111225_100-Best-Ads","FB_MOF_Detail-Target_Android_Black-War-Inf-Test-3_V0_Pro-Sub_230326","","","","","","","","","",""
"","","FB_MOF_Detail-Target_Android_Anmol-Testimonial-Video-V3-Test_Pro-Sub_110326","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Manual-App_Android_Pro-Sub_Pan-India_241225_Partnership-Ads","FB_MOF_Detail-Target_Android_CEO-Istefa-Test_V0_Pro-Sub_230326","","","","","","","","","",""
"","","Week number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MOF-AAA-Android-India-NewuserSubscription-050525Campaign Campaign","FB_MOF_Detail-Target_Android_Divyansh-Inf-Test-1_V0_Pro-Sub_240326","","","","","","","","","",""
"18/02/2026","24/02/2026","Week 6","?0","0","0","0","0","0","0","0","0","?0","0","0","0","","0","","","","","","","","","","","","","","","","","","","","FB_MOF_AAA_Android_Pro-Sub_Pan-India_010825","FB_MOF_Open_Android_Static-Test-Only_Pro-Sub_270326_Adset1","","","","","","","","","",""
"25/02/2026","03/03/2026","Week 5","?0","0","0","0","0","0","0","0","0","?0","0","0","0","","0","","","","","","","","","","","","","","","","","","","","FB_MOF_Manual-App_Android_Pro-Sub_South-India_041025_Language","FB_MOF_Detail-Target_Android_Static-Cluster-Test_Pro-Sub_130226","","","","","","","","","",""
"04/03/2026","10/03/2026","Week 4","?0","0","0","0","0","0","0","0","0","?0","0","0","0","","0","","","","","","","","","","","","","","","","","","","","FB_MOF_Manual-App_Android_Pro-Sub_Pan-India_120825","FB_MOF_Detail-Target_Android_Helmet-Cluster-Test_Pro-Sub_050326","","","","","","","","","",""
"11/03/2026","17/03/2026","Week 3","?72,811","75","8","26","14","1","4","6","1974","?10,371","14244","8397","21","?971","34","45%","2,142","?5,201","18.67%","?72,811","1.3%","2.7%","18,203","5.3%","18,203","14.2%","11.5%","2.7%","28.6%","19.6%","","","","","FB_MOF_Manual-App_Android_Pro-Sub_Pan-India_030925_TROAS","FB_MOF_Detail-Target_Android_Uncle-Video-V2-Test_Pro-Sub_130226","","","","","","","","","",""
"18/03/2026","24/03/2026","Week 2","?51,639","49","9","16","7","0","2","3","0","?5,598","8397","5598","11","?1,054","25","51%","2,066","?7,377","14.29%","","0.0%","0.0%","25,819","4.1%","25,819","10.8%","10.8%","0.0%","27.3%","16.3%","","","","","FB_MOF_Sales_WhatsApp_Convo_Pan-India_250825","FB_MOF_Detail-Target_Android_IT-Sector-Crash-Test_Pro-Sub_130226","","","","","","","","","",""
"25/03/2026","31/03/2026","Week 1","?0","1","0","1","0","0","0","0","0","?0","0","0","0","?0","1","100%","0","","","","0.0%","","","0.0%","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Agency-Ai-Test_V1_Pro-Sub_030326","","","","","","","","","",""
"","01/04/2026","Today","?0","0","0","0","0","0","0","0","0","?0","0","0","0","","0","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Kitna-Dooba-Test_V1_Pro-Sub_030326","","","","","","","","","",""
"","","Grand Total","?124,450","125","17","43","21","1","6","9","1974","?15,969","22641","13995","32","?996","60","48%","2,074","?5,926","16.80%","?124,450","0.8%","1.6%","20,742","4.8%","20,742","12.8%","11.2%","1.6%","28.1%","18.2%","","","","","","FB_MOF_Open_Android_Rollercoaster-Test_V0_Pro-Sub_070126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Metro-In-Dinon-Cluster_Pro-Sub_080126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Telegram-Video-V1-Test_Pro-Sub_110226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Old-Phone-Statics-Test_Pro-Sub_110226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AAA_Android_100-Best-Ads_Pro-Sub_111225_AdSet1","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Options-Theme_Pro-Sub_130326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Static-Only_Pro-Sub_260326_Adset1","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AAA_Android_DT+-Best-Ads_Start-Trial_170226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Bid-Cap_V2_Pro-Sub_250326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AAA_Android_Free-Ads_Pro-Sub_200326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AAA_Android_Perf-Ads_Pro-Sub_200326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Subscribe-Event_Any-Pro-Sub_250326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AAA_Android_Age-18-24-Only_Pro-Sub_190326","","","","","","","","","",""
